slug,category,sub_category,search_keywords,source_url,notes
oatmeal,rice-groceries,dry-goods,"oatmeal oats bowl","https://unsplash.com/s/photos/oatmeal","Use image of oatmeal"
coffee-creamer,rice-groceries,dry-goods,"coffee creamer powder","https://unsplash.com/s/photos/coffee-creamer","Use image of coffee creamer"
peanut-butter,rice-groceries,dry-goods,"peanut butter jar","https://unsplash.com/s/photos/peanut-butter","Use image of peanut butter jar"
mayonnaise,rice-groceries,dry-goods,"mayonnaise jar","https://unsplash.com/s/photos/mayonnaise","Use image of mayonnaise jar"
tomato-sauce,rice-groceries,condiments,"tomato sauce can","https://unsplash.com/s/photos/tomato-sauce","Use image of tomato sauce can"
davao-arabica,coffee-drinks,coffee,"davao arabica coffee beans","https://unsplash.com/s/photos/coffee-beans","Use image of roasted coffee beans"
barako-coffee,coffee-drinks,coffee,"barako coffee philippines liberica","https://unsplash.com/s/photos/barako-coffee","Search for liberica coffee beans"
benguet-arabica,coffee-drinks,coffee,"benguet arabica coffee","https://unsplash.com/s/photos/arabica-coffee","Use image of arabica coffee beans"
tablea,coffee-drinks,cacao,"tablea cacao chocolate disc","https://unsplash.com/s/photos/chocolate-disc","Search for chocolate discs or tablets"
cacao-nibs,coffee-drinks,cacao,"cacao nibs raw chocolate","https://unsplash.com/s/photos/cacao-nibs","Use image of cacao nibs"
pandan-iced-tea,coffee-drinks,beverages,"pandan iced tea green","https://unsplash.com/s/photos/iced-tea","Use image of iced tea glass"
buko-juice,coffee-drinks,beverages,"buko juice coconut drink","https://unsplash.com/s/photos/coconut-juice","Use image of coconut juice/drink"
lemongrass-tea,coffee-drinks,beverages,"lemongrass tea bag","https://unsplash.com/s/photos/lemongrass-tea","Use image of lemongrass tea"
calamansi-juice,coffee-drinks,beverages,"calamansi juice powder","https://unsplash.com/s/photos/calamansi-juice","Use image of calamansi drink"
guyabano-juice,coffee-drinks,beverages,"guyabano soursop juice","https://unsplash.com/s/photos/soursop-juice","Search for soursop juice"
coffee-cupping,coffee-drinks,service,"coffee cupping session","https://unsplash.com/s/photos/coffee-cupping","Use image of coffee tasting session"
bamboo-board,home-kitchen,bamboo,"bamboo chopping board","https://unsplash.com/s/photos/bamboo-board","Use image of bamboo cutting board"
capiz-lamp,home-kitchen,shell,"capiz shell pendant lamp","https://unsplash.com/s/photos/capiz-shell-lamp","Search for capiz shell lamp"
abaca-placemat,home-kitchen,woven,"abaca placemat woven","https://unsplash.com/s/photos/woven-placemat","Use image of woven placemat"
coconut-bowl,home-kitchen,shell,"coconut shell bowl","https://unsplash.com/s/photos/coconut-bowl","Use image of coconut shell bowl"
bamboo-utensils,home-kitchen,bamboo,"bamboo utensil set","https://unsplash.com/s/photos/bamboo-utensils","Use image of bamboo utensils"
wooden-ladle,home-kitchen,wooden,"wooden ladle spoon","https://unsplash.com/s/photos/wooden-ladle","Use image of wooden ladle"
banana-leaf-plate,home-kitchen,organic,"banana leaf plate","https://unsplash.com/s/photos/banana-leaf-plate","Use image of banana leaf plate"
bayong-bag,home-kitchen,woven,"bayong bag woven Filipino","https://unsplash.com/s/photos/woven-bag","Search for woven bag or bayong"
rattan-basket,home-kitchen,woven,"rattan basket woven","https://unsplash.com/s/photos/rattan-basket","Use image of rattan basket"
buri-hat,home-kitchen,woven,"buri hat woven Filipino","https://unsplash.com/s/photos/woven-hat","Search for woven hat or buri hat"
coir-doormat,home-kitchen,organic,"coconut coir doormat","https://unsplash.com/s/photos/coir-doormat","Use image of coir doormat"
bamboo-straw,home-kitchen,bamboo,"bamboo straw reusable","https://unsplash.com/s/photos/bamboo-straw","Use image of bamboo straw"
pampanga-tocino,local-delicacies,meat,"tocino Filipino sweet cured pork","https://unsplash.com/s/photos/tocino","Search for tocino specifically"
vigan-longganisa,local-delicacies,meat,"longganisa Filipino sausage","https://unsplash.com/s/photos/longganisa","Search for longganisa specifically"
dried-mangoes,local-delicacies,dried,"dried mangoes Philippines","https://unsplash.com/s/photos/dried-mangoes","Use image of dried mango slices"
piaya,local-delicacies,pastries,"piaya Filipino flatbread","https://unsplash.com/s/photos/piaya","Search for piaya specifically"
otap,local-delicacies,pastries,"otap Filipino puff pastry","https://unsplash.com/s/photos/otap","Search for otap specifically"
tablea-tsokolate,local-delicacies,cacao,"tablea tsokolate chocolate","https://unsplash.com/s/photos/tablea-chocolate","Search for tablea chocolate"
puto-cheese,local-delicacies,pastries,"puto cheese Filipino steamed cake","https://unsplash.com/s/photos/puto","Search for puto specifically"
buko-pie,local-delicacies,pastries,"buko pie Filipino coconut pie","https://unsplash.com/s/photos/buko-pie","Search for buko pie specifically"
ube-halaya,local-delicacies,spreads,"ube halaya purple yam jam","https://unsplash.com/s/photos/ube-halaya","Search for ube halaya specifically"
yema-spread,local-delicacies,spreads,"yema spread Filipino caramel","https://unsplash.com/s/photos/yema","Search for yema spread"
polvoron,local-delicacies,pastries,"polvoron Filipino powder candy","https://unsplash.com/s/photos/polvoron","Search for polvoron specifically"
banana-chips,local-delicacies,dried,"banana chips fried","https://unsplash.com/s/photos/banana-chips","Use image of banana chips"
cassava-chips,local-delicacies,dried,"cassava chips fried","https://unsplash.com/s/photos/cassava-chips","Search for cassava chips"
saging-con-yelo,local-delicacies,dessert,"saging con yelo banana ice","https://unsplash.com/s/photos/banana-ice","Use image of banana with ice dessert"
mais-con-yelo,local-delicacies,dessert,"mais con yelo corn ice","https://unsplash.com/s/photos/corn-ice","Use image of corn with ice dessert"
shell-keychain,crafts-souvenirs,shell,"capiz shell keychain craft","https://unsplash.com/s/photos/capiz-shell-craft","Use image of capiz shell crafts"
bamboo-tumbler,crafts-souvenirs,bamboo,"bamboo tumbler bottle","https://unsplash.com/s/photos/bamboo-tumbler","Use image of bamboo tumbler"
abaca-coin-purse,crafts-souvenirs,woven,"abaca coin purse woven","https://unsplash.com/s/photos/woven-coin-purse","Use image of woven coin purse"
woven-bilao,crafts-souvenirs,woven,"woven bilao tray Filipino","https://unsplash.com/s/photos/woven-tray","Search for woven tray or bilao"
mini-jeepney,crafts-souvenirs,souvenir,"miniature jeepney Philippines","https://unsplash.com/s/photos/mini-jeepney","Search for mini jeepney model"
capiz-earrings,crafts-souvenirs,shell,"capiz shell earrings jewelry","https://unsplash.com/s/photos/capiz-earrings","Use image of shell earrings"
wooden-spoon-set,crafts-souvenirs,wooden,"wooden spoon set carved","https://unsplash.com/s/photos/wooden-spoon","Use image of wooden spoons"
abaca-sling-bag,crafts-souvenirs,woven,"abaca sling bag woven","https://unsplash.com/s/photos/woven-sling-bag","Use image of woven bag"
buri-fan,crafts-souvenirs,woven,"buri fan woven Filipino","https://unsplash.com/s/photos/woven-fan","Search for woven fan"
coconut-ashtray,crafts-souvenirs,shell,"coconut shell ashtray craft","https://unsplash.com/s/photos/coconut-shell-craft","Use image of coconut shell craft"
bamboo-wind-chime,crafts-souvenirs,bamboo,"bamboo wind chime","https://unsplash.com/s/photos/bamboo-wind-chime","Use image of bamboo wind chime"
banig-mat,crafts-souvenirs,woven,"banig mat woven Filipino","https://unsplash.com/s/photos/woven-mat","Search for banig or woven mat"
handwoven-basket,crafts-souvenirs,woven,"handwoven basket Filipino","https://unsplash.com/s/photos/handwoven-basket","Use image of handwoven basket"
